GVKEY,datadate,fyear,tic,conm,curcd,at,bkvlps,ceq,ceql,che,cogs,csho,dlc,dltt,dvc,ebit,ebitda,epsfx,lt,ni,revt,seq,costat,prcc_f,gross profit,gp/at,asset turnover,gross margin,div /share,div yeild,if pro,if div,
29914,31-Dec-21,2021,LPTX,LEAP THERAPEUTICS INC,USD,117.911,1.2216,107.887,107.887,114.916,42.897,88.318,0.432,0.037,0,-41.426,-41.397,-0.47,10.024,-40.587,1.5,107.887,A,3.24,-41.397,-0.351086837,0.012721459,-27.598,0,0,FALSE,FALSE,
33855,31-Dec-21,2021,ARDS,ARIDIS PHARMACEUTICALS,USD,26.796,-0.7406,-13.11,-13.11,19.486,43.811,17.702,0.696,5.282,0,-42.711,-42.276,-3.77,39.906,-42.193,1.535,-13.11,A,2.33,-42.276,-1.577698164,0.057284669,-27.54136808,0,0,FALSE,FALSE,
30311,31-Dec-21,2021,VRDN,VIRIDIAN THERAPEUTICS INC,USD,203.709,2.2523,53.883,53.883,196.965,82.571,23.924,0.52,1.2,0,-79.728,-79.608,-6.66,15.993,-79.413,2.963,187.716,A,19.77,-79.608,-0.390792748,0.014545258,-26.86736416,0,0,FALSE,FALSE,
26415,30-Jun-21,2021,DTSS,DATASEA INC,USD,3.895,0.0149,0.32,0.32,0.05,4.837,21.474,2.217,0.559,0,-4.861,-4.662,-0.22,3.817,-4.648,0.175,0.32,A,2.5,-4.662,-1.196919127,0.044929397,-26.64,0,0,FALSE,FALSE,
38342,31-Dec-21,2021,RXDX,PROMETHEUS BIOSCNC INC,USD,267.801,6.0384,235.155,235.155,257.254,84.274,38.943,0,0,0,-81.403,-81.145,-2.35,32.646,-90.195,3.129,235.155,A,39.54,-81.145,-0.303004843,0.011684049,-25.9332055,0,0,FALSE,FALSE,
12717,31-Oct-21,2021,ANIX,ANIXA BIOSCIENCES INC,USD,36.257,1.1792,35.437,35.437,35.727,13.648,30.051,0.039,0.22,0,-13.135,-13.135,-0.45,1.49,-12.954,0.513,35.437,A,4.77,-13.135,-0.362274871,0.014148992,-25.6042885,0,0,FALSE,FALSE,
23574,31-Dec-21,2021,ADAP,ADAPTIMMUNE THERAPEUTICS,USD,469.545,1.3181,205.96,205.96,369.58,161.266,156.258,2.32,23.148,0,-161.684,-155.117,-1.02,263.585,-158.09,6.149,205.96,A,3.75,-155.117,-0.330355983,0.013095656,-25.22637827,0,0,FALSE,FALSE,
33780,31-Dec-21,2021,VCNX,VACCINEX INC,USD,9.843,0.2406,7.412,7.412,8.589,23.221,30.801,0.215,0.175,0,-22.49,-22.321,-0.78,2.431,-22.38,0.9,7.412,A,1.04,-22.321,-2.267702936,0.091435538,-24.80111111,0,0,FALSE,FALSE,
33824,31-Dec-21,2021,RMED,RA MEDICAL SYSTEMS INC,USD,21.044,1.9505,13.673,13.673,15.045,0.56,7.01,0.283,1.981,0,-29.816,-28.816,-5.39,7.371,-25.07,0.022,13.673,A,1.56,-0.538,-0.025565482,0.001045429,-24.45454545,0,0,FALSE,FALSE,
37872,31-Dec-21,2021,TLIS,TALIS BIOMEDICAL CORP,USD,265.828,8.86,233.974,233.974,232.545,198.431,26.408,1.232,12.745,0,-191.816,-190.238,-7.63,31.851,-192.036,8.193,233.977,A,4.01,-190.238,-0.715643198,0.030820681,-23.21957769,0,0,FALSE,FALSE,
21524,31-Dec-21,2021,PRQR,PROQR THERAPEUTICS NV,USD,238.36,1.816,129.465,129.465,213.276,65.122,71.291,7.171,61.492,0,-65.045,-62.396,-1.09,109.582,-70.083,2.726,129.465,A,8.01,-62.396,-0.261772109,0.011436483,-22.88921497,0,0,FALSE,FALSE,
25924,31-Dec-21,2021,NAVB,NAVIDEA BIOPHARMACEUTICALS,USD,6.645,-0.0035,-0.107,-0.107,4.231,12.516,30.28,0.729,0.02,0,-12.061,-11.984,-0.4,6.02,-11.731,0.532,-0.107,A,1,-11.984,-1.803461249,0.080060196,-22.52631579,0,0,FALSE,FALSE,
39632,31-Dec-21,2021,VLCN,VOLCON INC,USD,14.624,0.3642,6.304,6.304,5.572,10.289,17.309,0.473,1.836,0,-39.18,-38.961,-3.54,8.32,-40.125,0.449,6.304,A,10.8,-9.84,-0.672866521,0.030702954,-21.91536748,0,0,FALSE,FALSE,
16947,31-Dec-21,2021,ATNM,ACTINIUM PHARMACEUTICALS INC,USD,80.388,3.3212,73.545,73.545,78.221,25.584,22.144,0.307,0.003,0,-24.964,-24.44,-1.2,6.843,-24.774,1.144,73.545,A,6.01,-24.44,-0.304025476,0.01423098,-21.36363636,0,0,FALSE,FALSE,
